state,x,y
Andhra Pradesh,-71,-240
Arunachal Pradesh,299,173
Assam,257,97
Bihar,95,62
Chhattisgarh,-5,-78
Goa,-216,-229
Gujarat,-292,-21
Haryana,-146,161
Himachal Pradesh,-100,239
Jammu and Kashmir,-207,283
Jharkhand,75,-1
Karnataka,-184,-257
Kerala,-155,-367
Ladakh,-120,318
Lakshadweep,-273,-350
Madhya Pradesh,-113,-15
Maharashtra,-216,-134
Manipur,300,41
Meghalaya,210,63
Mizoram,273,-24
Nagaland,325,92
Odisha,74,-90
Punjab,-172,208
Rajasthan,-235,81
Sikkim,152,128
Tamil Nadu,-96,-349
Telangana,-72,-164
Tripura,226,16
Uttar Pradesh,-41,189
Uttarakhand,-53,106
West Bengal,162,-27
